label	sites	installer_vas	kinds	m2server_target_vas
AddLimLF函数修改	2	0x100d3979 0x100d3a30	memcpy tramp1	0x6de8e3 0x6de8eb
BB杀怪触发	2	0x100d4814 0x100d4945	memcpy tramp1	0x71f467 0x71f46c
BB死亡触发	2	0x100d4b75 0x100d4cb7	memcpy tramp1	0x76631c 0x766321
IncActivePoint函数修改	2	0x100d3a9f 0x100d3b55	memcpy tramp1	0x6f91ba 0x6f91c0
ServerSay函数	2	0x100b4d4c 0x100b4de1	memcpy	0x728913
give极品	2	0x100d3d5b 0x100d3e12	memcpy tramp1	0x6c89ae 0x6c89b6
上线触发	2	0x100d5968 0x100d5a94	memcpy tramp1	0x6548bd
下线宝宝死亡	2	0x100ab10b 0x100ab19b	memcpy	0x6b5ba1
中毒时间上限	4	0x100b8776 0x100b87bf 0x100b88b5 0x100b88f0	memcpy tramp2	0x76e5ce 0x76e5d3 0x76e675
中毒飘血	2	0x100db2db 0x100db388	memcpy tramp1	0x767e10
修复卡防御	2	0x100aaebd 0x100aaf41	memcpy	0x767910
免毒符	24	0x100da719 0x100da756 0x100da793 0x100da7d0 0x100da80d 0x100da84a 0x100da884 0x100da8c1 0x100da8fe 0x100da93b 0x100da975 0x100da9af 0x100dab1e 0x100dab55 0x100dab92 0x100dabcc 0x100dac06 0x100dac40 0x100dac77 0x100dacb1 0x100daceb 0x100dad28 0x100dad62 0x100dad9f	memcpy	0x6ed945 0x6ed9d1 0x6ed9eb 0x6eda85 0x6edab1 0x6edadf 0x6edb11 0x6edb3e 0x6edb65 0x6edb8c 0x6edc58 0x6ede1d
全屏拾取	8	0x100cf04e 0x100cf09d 0x100cf0ec 0x100cf13b 0x100cf23f 0x100cf280 0x100cf2c1 0x100cf302	memcpy tramp1	0x6b795c 0x6b796b 0x6b7977 0x6b7a25 0x6b7a2b 0x6b7a2f 0x6b7a35
关闭摆摊	2	0x100ad12a 0x100ad1ae	memcpy	0x6e7c38
冰咆哮主属性切换	4	0x100d9e76 0x100d9f4e 0x100d9fbd 0x100da095	memcpy tramp1	0x76f2cb 0x76f2d9
冰咆哮范围	2	0x100da231 0x100da2f3	memcpy tramp1	0x76f300
刀刀切割	2	0x100cf36e 0x100cf496	memcpy tramp1	0x767bae 0x767bb4
删除技能不提示	2	0x100db451 0x100db542	memcpy	0x6c7797
刺杀剑术	1	0x100b417c	memcpy	0x771c25
升级技能不提示	2	0x100db61c 0x100db70f	memcpy	0x73f5ee
半月带毒	2	0x100b2e4a 0x100b2ef8	memcpy tramp2	0x7720fb
召唤神兽	4	0x100a9e9b 0x100a9ed5 0x100a9f6b 0x100a9fa5	memcpy	0x76ee99 0x76eeec
召唤神兽触发	2	0x100ae51f 0x100ae668	memcpy tramp2	0x6edc5e 0x6edc63
召唤骷髅	2	0x100aa04b 0x100aa0ea	memcpy	0x76ee1f
