key	source	n_sites	kinds	target_vas	legacy_target_vas	delta
AddLimLF函数修改	label-atlas	2	memcpy tramp1	0x6de8e3	0x6de8e3	-
BB杀怪触发	label-atlas	2	memcpy tramp1	0x71f467	0x71f467	-
BB死亡触发	label-atlas	2	memcpy tramp1	0x76631c	0x76631c	-
IncActivePoint函数修改	label-atlas	2	memcpy tramp1	0x6f91ba	0x6f91ba	-
ServerSay函数	label-atlas	2	memcpy	0x728913	0x728913	-
give极品	label-atlas	2	memcpy tramp1	0x6c89ae	0x6c89ae	-
上线触发	label-atlas	2	memcpy tramp1	0x6548bd	0x6548bd	-
下线宝宝死亡	label-atlas	2	memcpy	0x6b5ba1	0x6b5ba1	-
中毒时间上限	label-atlas	4	memcpy tramp2	0x76e5ce 0x76e675	0x76e5ce 0x76e675	-
中毒飘血	label-atlas	2	memcpy tramp1	0x767e10	0x767e10	-
人物爆率调整	legacy-only	0	-		0x73fcbb 0x73ff6c	-
修复卡防御	label-atlas	2	memcpy	0x767910	0x767910	-
免毒符	label-atlas	24	memcpy	0x6ed945 0x6ed9d1 0x6ed9eb 0x6eda85 0x6edab1 0x6edadf 0x6edb11 0x6edb3e 0x6edb65 0x6edb8c 0x6edc58 0x6ede1d	0x6ed945 0x6ed9d1 0x6ed9eb 0x6eda85 0x6edab1 0x6edadf 0x6edb11 0x6edb3e 0x6edb65 0x6edb8c 0x6edc58 0x6ede1d	-
全屏拾取	label-atlas	8	memcpy tramp1	0x6b795c 0x6b796b 0x6b7a25 0x6b7a2f	0x6b795c 0x6b796b 0x6b7a25 0x6b7a2f	-
关闭摆摊	label-atlas	2	memcpy	0x6e7c38	0x6e7c38	-
冰咆哮主属性切换	label-atlas	4	memcpy tramp1	0x76f2cb	0x76f2cb	-
冰咆哮范围	label-atlas	2	memcpy tramp1	0x76f300	0x76f300	-
刀刀切割	label-atlas	2	memcpy tramp1	0x767bae	0x767bae	-
删除技能不提示	label-atlas	2	memcpy	0x6c7797	0x6c7797	-
刺杀剑术	label-atlas	1	memcpy	0x771c25	0x771c25 0x771c50 0x771d24	-
升级技能不提示	label-atlas	2	memcpy	0x73f5ee	0x73f5ee	-
半月带毒	label-atlas	2	memcpy tramp2	0x7720fb	0x7720fb	-
半月弯刀	legacy-only	0	-		0x772046 0x772148	-
召唤神兽	label-atlas	4	memcpy	0x76ee99 0x76eeec	0x76ee99 0x76eeec	-
召唤神兽触发	label-atlas	2	memcpy tramp2	0x6edc5e	0x6edc5e	-
召唤骷髅	label-atlas	2	memcpy	0x76ee1f	0x76ee1f	-
