key	page	prod_on	value	matrix_state	verdict	owner	patch_source	apply_sites	revert_sites	patch_bytes	cfg_field	n_consumers	target_vas
AddLimLF函数修改	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	8	0x0bc	0	0x6de8e3
BB杀怪触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x0d8	0	0x71f467
BB死亡触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x0e4	0	0x76631c
IncActivePoint函数修改	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x0c0	0	0x6f91ba
ServerSay函数	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	12	0x504	0	0x728913
SetNoKillMapLv脚本触发	盘古2	1	1	IMPLEMENTED	PLUGIN_SIDE_ONLY		-	0	0	0	0x7b0	2	
give极品	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	8	0x0c8	0	0x6c89ae
super攻击触发	眼神2(第2页)	0	0	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x12c	2	
上线触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x0f8	0	0x6548bd
下线宝宝死亡	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	0x760	0	0x6b5ba1
专职变性	盘古1	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x730	0	
中毒时间上限	盘古3	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	2	2	10	0x810	0	0x76e5ce 0x76e675
中毒时间上限_秒	盘古3	1	"60"	LABEL_ONLY	PARAM_OF_PATCHED	中毒时间上限	-	0	0	0	0xac8	0	
中毒飘血	配置2	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x4f0	0	0x767e10
临时大背包	配置1	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x0dc	0	
主号全局法速	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8cc	0	
主号分身术a	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6dc	1	
主号施法速度	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x83c	0	
主号高级暴击	眼神2(第1页)	1	1	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x518	1	
