key	prod_value	sing_off	host_va	cache_off	apply_site	host_insn
武器最高点数_攻击_值		0xf10	0x760914	0x2ec	0x100bfdc9	0x760913 B8 06 00 00 00 mov eax, 6
武器点数几率_攻击_值	5	0xf28	0x76090f	0x2f0	0x100bfe7c	0x76090e BA 14 00 00 00 mov edx, 0x14
武器属性几率_攻击_值	10	0xf40	0x760920	0x2f4	0x100bff2c	0x76091f B8 1E 00 00 00 mov eax, 0x1e
武器最高点数_魔法_值	7	0xf58	0x760939	0x2f8	0x100bffdc	0x760938 B8 0C 00 00 00 mov eax, 0xc
武器点数几率_魔法_值	5	0xf70	0x760934	0x2fc	0x100c008c	0x760933 BA 0F 00 00 00 mov edx, 0xf
武器属性几率_魔法_值	10	0xf88	0x760945	0x300	0x100c013c	0x760944 B8 1E 00 00 00 mov eax, 0x1e
武器最高点数_道术_值	7	0xfa0	0x76095e	0x304	0x100c01e6	0x76095d B8 0C 00 00 00 mov eax, 0xc
武器点数几率_道术_值	5	0xfb8	0x760959	0x308	0x100c0285	0x760958 BA 0F 00 00 00 mov edx, 0xf
武器属性几率_道术_值	10	0xfd0	0x76096a	0x30c	0x100c0324	0x760969 B8 1E 00 00 00 mov eax, 0x1e
武器最高点数_攻速_值	7	0xfe8	0x760983	0x310	0x100c03c3	0x760982 B8 0C 00 00 00 mov eax, 0xc
武器点数几率_攻速_值	5	0x1000	0x76097e	0x314	0x100c0463	0x76097d BA 0F 00 00 00 mov edx, 0xf
武器属性几率_攻速_值	10	0x1018	0x76098f	0x318	0x100c0503	0x76098e B8 14 00 00 00 mov eax, 0x14
武器最高点数_准确_值	7	0x1030	0x7609cc	0x31c	0x100c05a3	0x7609cb B8 0C 00 00 00 mov eax, 0xc
武器点数几率_准确_值	5	0x1048	0x7609c7	0x320	0x100c0643	0x7609c6 BA 0F 00 00 00 mov edx, 0xf
武器属性几率_准确_值	10	0x1060	0x7609d8	0x324	0x100c06e3	0x7609d7 B8 18 00 00 00 mov eax, 0x18
武器最随机性_极品_值	80	0x1078	0x7608f0	0x328	0x100c0783	0x7608ef B8 0A 00 00 00 mov eax, 0xa
衣服最高点数_攻击_值	10	0x1090	0x783f5a	0x32c	0x100c0823	0x783f59 B8 06 00 00 00 mov eax, 6
衣服点数几率_攻击_值	5	0x10a8	0x783f55	0x330	0x100c08c3	0x783f54 BA 14 00 00 00 mov edx, 0x14
衣服属性几率_攻击_值	10	0x10c0	0x783f66	0x334	0x100c0969	0x783f65 B8 14 00 00 00 mov eax, 0x14
衣服最高点数_魔法_值	10	0x10d8	0x783f7d	0x338	0x100c0a1c	0x783f7c B8 06 00 00 00 mov eax, 6
衣服点数几率_魔法_值	5	0x10f0	0x783f78	0x33c	0x100c0acc	0x783f77 BA 14 00 00 00 mov edx, 0x14
衣服属性几率_魔法_值	10	0x1108	0x783f89	0x340	0x100c0b7c	0x783f88 B8 14 00 00 00 mov eax, 0x14
衣服最高点数_道术_值	10	0x1120	0x783fa0	0x344	0x100c0c2c	0x783f9f B8 06 00 00 00 mov eax, 6
衣服点数几率_道术_值	5	0x1138	0x783f9b	0x348	0x100c0cdc	0x783f9a BA 14 00 00 00 mov edx, 0x14
衣服属性几率_道术_值	10	0x1150	0x783fac	0x34c	0x100c0d8c	0x783fab B8 1E 00 00 00 mov eax, 0x1e
衣服最高点数_攻速_值	10	0x1168	0x783fc3	0x350	0x100c0e3c	0x783fc2 B8 06 00 00 00 mov eax, 6
衣服点数几率_攻速_值	5	0x1180	0x783fbe	0x354	0x100c0eec	0x783fbd BA 14 00 00 00 mov edx, 0x14
衣服属性几率_攻速_值	10	0x1198	0x783fcf	0x358	0x100c0f9c	0x783fce B8 1E 00 00 00 mov eax, 0x1e
衣服最高点数_准确_值	10	0x11b0	0x783fe6	0x35c	0x100c104c	0x783fe5 B8 06 00 00 00 mov eax, 6
衣服点数几率_准确_值	5	0x11c8	0x783fe1	0x360	0x100c10fc	0x783fe0 BA 14 00 00 00 mov edx, 0x14
衣服属性几率_准确_值	10	0x11e0	0x783ff2	0x364	0x100c11ac	0x783ff1 B8 1E 00 00 00 mov eax, 0x1e
