site_va	kind	arm	label	target_va	span_end	span_len	status_literal	conservative_hosts
0x100a981e	memcpy	APPLY	土城摆摊	0x6e7930	0x6e7938	8	土城摆摊(已启动)	0x6e7930
0x100a9858	memcpy	APPLY	土城摆摊	0x6e7c1c	0x6e7c26	10	土城摆摊(已启动)	0x6e7c1c
0x100a9895	memcpy	APPLY	土城摆摊	0x6e7c5f	0x6e7c61	2	土城摆摊(已启动)	0x6e7c5f
0x100a994b	memcpy	REVERT	土城摆摊	0x6e7930	0x6e7938	8	土城摆摊(未启动)	0x6e7930
0x100a9985	memcpy	REVERT	土城摆摊	0x6e7c1c	0x6e7c26	10	土城摆摊(未启动)	0x6e7c1c
0x100a99c2	memcpy	REVERT	土城摆摊	0x6e7c5f	0x6e7c61	2	土城摆摊(未启动)	0x6e7c5f
0x100a9a3a	memcpy	APPLY	摆摊穿人	0x77931d	0x779320	3	摆摊穿人(已启动)	0x77931d
0x100a9ac7	memcpy	REVERT	摆摊穿人	0x77931d	0x779320	3	摆摊穿人(未启动)	0x77931d
0x100a9bc2	memcpy	APPLY	随身仓库	0x6e087c	0x6e08a9	45	随身仓库(已启动)	0x6e087c
0x100a9bf9	memcpy	APPLY	随身仓库	0x6c2ab9	0x6c2abf	6	随身仓库(已启动)	0x6c2ab9
0x100a9c33	memcpy	APPLY	随身仓库	0x6c2dc9	0x6c2dcf	6	随身仓库(已启动)	0x6c2dc9
0x100a9d2c	memcpy	REVERT	随身仓库	0x6e087c	0x6e08a9	45	随身仓库(未启动)	0x6e087c
0x100a9d63	memcpy	REVERT	随身仓库	0x6c2ab9	0x6c2abf	6	随身仓库(未启动)	0x6c2ab9
0x100a9d9d	memcpy	REVERT	随身仓库	0x6c2dc9	0x6c2dcf	6	随身仓库(未启动)	0x6c2dc9
0x100a9e9b	memcpy	APPLY	召唤神兽	0x76ee99	0x76ee9a	1	召唤神兽(已启动)	0x76ee99
0x100a9ed5	memcpy	APPLY	召唤神兽	0x76eeec	0x76eef0	4	召唤神兽(已启动)	0x76eeec
0x100a9f6b	memcpy	REVERT	召唤神兽	0x76ee99	0x76ee9a	1	召唤神兽(未启动)	0x76ee99
0x100a9fa5	memcpy	REVERT	召唤神兽	0x76eeec	0x76eef0	4	召唤神兽(未启动)	0x76eeec
0x100aa04b	memcpy	APPLY	召唤骷髅	0x76ee1f	0x76ee20	1	召唤骷髅(已启动)	0x76ee1f
0x100aa0ea	memcpy	REVERT	召唤骷髅	0x76ee1f	0x76ee20	1	召唤骷髅(未启动)	0x76ee1f
0x100aa19a	memcpy	APPLY	攻沙脚本控制	0x65c6b6	0x65c6bc	6	攻沙脚本控制(已启动)	0x65c6b6
0x100aa1d4	memcpy	APPLY	攻沙脚本控制	0x65c76d	0x65c76f	2	攻沙脚本控制(已启动)	0x65c76d
0x100aa211	memcpy	APPLY	攻沙脚本控制	0x65c785	0x65c787	2	攻沙脚本控制(已启动)	0x65c785
0x100aa26b	memcpy	REVERT	攻沙脚本控制	0x65c6b6	0x65c6bc	6	攻沙脚本控制(未启动)	0x65c6b6
0x100aa2a5	memcpy	REVERT	攻沙脚本控制	0x65c76d	0x65c76f	2	攻沙脚本控制(未启动)	0x65c76d
0x100aa2e2	memcpy	REVERT	攻沙脚本控制	0x65c785	0x65c787	2	攻沙脚本控制(未启动)	0x65c785
0x100aa479	tramp2	APPLY	安全区禁止丢物	0x73cc98	0x73cc9e	6	安全区禁止丢物(已启动)	0x73cc98 0x73cc9e
0x100aa52d	memcpy	REVERT	安全区禁止丢物	0x73cc98	0x73cc9e	6	安全区禁止丢物(未启动)	0x73cc98
0x100aa60e	tramp2	APPLY	邮件防刷	0x6e7810	0x6e7815	5	邮件防刷(已启动)	0x6e7810 0x6e7815
0x100aa6c0	memcpy	REVERT	邮件防刷	0x6e7810	0x6e7815	5	邮件防刷(未启动)	0x6e7810
0x100aa765	tramp2	APPLY	防0拆分	0x6e0ff3	0x6e0ff9	6	防0拆分(已启动)	0x6e0ff3 0x6e0ff9
0x100aa819	memcpy	REVERT	防0拆分	0x6e0ff3	0x6e0ff9	6	防0拆分(未启动)	0x6e0ff3
0x100aa8b2	memcpy	APPLY	穿人穿怪	0x6b30a3	0x6b30ad	10	穿人穿怪(已启动)	0x6b30a3
0x100aa8ec	memcpy	APPLY	穿人穿怪	0x768454	0x768457	3	穿人穿怪(已启动)	0x768454
0x100aa99e	memcpy	REVERT	穿人穿怪	0x6b30a3	0x6b30ad	10	穿人穿怪(未启动)	0x6b30a3
0x100aa9d8	memcpy	REVERT	穿人穿怪	0x768454	0x768457	3	穿人穿怪(未启动)	0x768454
0x100aaa69	tramp2	APPLY	禁止交易地图	0x6c3f00	0x6c3f05	5	禁止交易地图(已启动)	0x6c3f00 0x6c3f05
0x100aab1b	memcpy	REVERT	禁止交易地图	0x6c3f00	0x6c3f05	5	禁止交易地图(未启动)	0x6c3f00
0x100aabb6	tramp2	APPLY	禁止宝宝休息	0x623a73	0x623a7a	7	禁止宝宝休息(已启动)	0x623a73 0x623a7a
0x100aac71	memcpy	REVERT	禁止宝宝休息	0x623a73	0x623a7a	7	禁止宝宝休息(未启动)	0x623a73
0x100aacef	memcpy	APPLY	行会显示	0x6c5bcb	0x6c5bcd	2	行会显示(已启动)	0x6c5bcb
0x100aad29	memcpy	APPLY	行会显示	0x6c5bf7	0x6c5bf9	2	行会显示(已启动)	0x6c5bf7
0x100aadc0	memcpy	REVERT	行会显示	0x6c5bcb	0x6c5bcd	2	行会显示(未启动)	0x6c5bcb
0x100aadfa	memcpy	REVERT	行会显示	0x6c5bf7	0x6c5bf9	2	行会显示(未启动)	0x6c5bf7
0x100aaebd	memcpy	APPLY	修复卡防御	0x767910	0x767911	1	修复卡防御(已启动)	0x767910
0x100aaf41	memcpy	REVERT	修复卡防御	0x767910	0x767911	1	修复卡防御(未启动)	0x767910
0x100ab009	memcpy	APPLY	地面物品消失时间	0x77a3ff	0x77a403	4	地面物品消失时间(已启动)	0x77a3ff
0x100ab090	memcpy	REVERT	地面物品消失时间	0x77a3ff	0x77a403	4	地面物品消失时间(未启动)	0x77a3ff
0x100ab10b	memcpy	APPLY	下线宝宝死亡	0x6b5ba1	0x6b5ba7	6	下线宝宝死亡(已启动)	0x6b5ba1
0x100ab19b	memcpy	REVERT	下线宝宝死亡	0x6b5ba1	0x6b5ba7	6	下线宝宝死亡(未启动)	0x6b5ba1
0x100ab4ac	memcpy	APPLY	屏蔽属性提升提示	0x741a21	0x741a26	5	屏蔽属性提升提示(已启动)	0x741a21
0x100ab4e6	memcpy	APPLY	屏蔽属性提升提示	0x741a5c	0x741a61	5	屏蔽属性提升提示(已启动)	0x741a5c
0x100ab523	memcpy	APPLY	屏蔽属性提升提示	0x741a97	0x741a9c	5	屏蔽属性提升提示(已启动)	0x741a97
0x100ab560	memcpy	APPLY	屏蔽属性提升提示	0x741ad2	0x741ad7	5	屏蔽属性提升提示(已启动)	0x741ad2
0x100ab59d	memcpy	APPLY	屏蔽属性提升提示	0x741b0d	0x741b12	5	屏蔽属性提升提示(已启动)	0x741b0d
0x100ab5da	memcpy	APPLY	屏蔽属性提升提示	0x741b48	0x741b4d	5	屏蔽属性提升提示(已启动)	0x741b48
0x100ab617	memcpy	APPLY	屏蔽属性提升提示	0x741b83	0x741b88	5	屏蔽属性提升提示(已启动)	0x741b83
0x100ab654	memcpy	APPLY	屏蔽属性提升提示	0x741bbe	0x741bc3	5	屏蔽属性提升提示(已启动)	0x741bbe
0x100ab691	memcpy	APPLY	屏蔽属性提升提示	0x741bf9	0x741bfe	5	屏蔽属性提升提示(已启动)	0x741bf9
0x100ab6ce	memcpy	APPLY	屏蔽属性提升提示	0x741c34	0x741c39	5	屏蔽属性提升提示(已启动)	0x741c34
0x100ab70b	memcpy	APPLY	屏蔽属性提升提示	0x741c6f	0x741c74	5	屏蔽属性提升提示(已启动)	0x741c6f
0x100ab748	memcpy	APPLY	屏蔽属性提升提示	0x741caa	0x741caf	5	屏蔽属性提升提示(已启动)	0x741caa
0x100ab785	memcpy	APPLY	屏蔽属性提升提示	0x741ce5	0x741cea	5	屏蔽属性提升提示(已启动)	0x741ce5
0x100ab7c2	memcpy	APPLY	屏蔽属性提升提示	0x741d20	0x741d25	5	屏蔽属性提升提示(已启动)	0x741d20
0x100ab7ff	memcpy	APPLY	屏蔽属性提升提示	0x741d5b	0x741d60	5	屏蔽属性提升提示(已启动)	0x741d5b
0x100ab83c	memcpy	APPLY	屏蔽属性提升提示	0x741dfd	0x741e02	5	屏蔽属性提升提示(已启动)	0x741dfd
0x100ab879	memcpy	APPLY	屏蔽属性提升提示	0x74281d	0x742826	9	屏蔽属性提升提示(已启动)	0x74281d
0x100ab8b6	memcpy	APPLY	屏蔽属性提升提示	0x742835	0x74283e	9	屏蔽属性提升提示(已启动)	0x742835
0x100ab8f3	memcpy	APPLY	屏蔽属性提升提示	0x74284d	0x742856	9	屏蔽属性提升提示(已启动)	0x74284d
0x100ab930	memcpy	APPLY	屏蔽属性提升提示	0x742865	0x74286e	9	屏蔽属性提升提示(已启动)	0x742865
0x100ab96d	memcpy	APPLY	屏蔽属性提升提示	0x74287d	0x742886	9	屏蔽属性提升提示(已启动)	0x74287d
0x100ab9aa	memcpy	APPLY	屏蔽属性提升提示	0x742895	0x74289e	9	屏蔽属性提升提示(已启动)	0x742895
0x100ab9e7	memcpy	APPLY	屏蔽属性提升提示	0x7428ad	0x7428b6	9	屏蔽属性提升提示(已启动)	0x7428ad
0x100aba24	memcpy	APPLY	屏蔽属性提升提示	0x7428c5	0x7428ce	9	屏蔽属性提升提示(已启动)	0x7428c5
0x100aba61	memcpy	APPLY	屏蔽属性提升提示	0x7428dd	0x7428e6	9	屏蔽属性提升提示(已启动)	0x7428dd
0x100aba9e	memcpy	APPLY	屏蔽属性提升提示	0x74290d	0x742916	9	屏蔽属性提升提示(已启动)	0x74290d
0x100abadb	memcpy	APPLY	屏蔽属性提升提示	0x742925	0x74292e	9	屏蔽属性提升提示(已启动)	0x742925
0x100abb15	memcpy	APPLY	屏蔽属性提升提示	0x74293d	0x742946	9	屏蔽属性提升提示(已启动)	0x74293d
0x100abb4f	memcpy	APPLY	屏蔽属性提升提示	0x742955	0x74295e	9	屏蔽属性提升提示(已启动)	0x742955
0x100abb89	memcpy	APPLY	屏蔽属性提升提示	0x74296d	0x742976	9	屏蔽属性提升提示(已启动)	0x74296d
0x100abbc6	memcpy	APPLY	屏蔽属性提升提示	0x74298c	0x742995	9	屏蔽属性提升提示(已启动)	0x74298c
0x100abed8	memcpy	REVERT	屏蔽属性提升提示	0x741a21	0x741a26	5	屏蔽属性提升提示(未启动)	0x741a21
0x100abf12	memcpy	REVERT	屏蔽属性提升提示	0x741a5c	0x741a61	5	屏蔽属性提升提示(未启动)	0x741a5c
0x100abf4c	memcpy	REVERT	屏蔽属性提升提示	0x741a97	0x741a9c	5	屏蔽属性提升提示(未启动)	0x741a97
0x100abf86	memcpy	REVERT	屏蔽属性提升提示	0x741ad2	0x741ad7	5	屏蔽属性提升提示(未启动)	0x741ad2
0x100abfc3	memcpy	REVERT	屏蔽属性提升提示	0x741b0d	0x741b12	5	屏蔽属性提升提示(未启动)	0x741b0d
0x100ac000	memcpy	REVERT	屏蔽属性提升提示	0x741b48	0x741b4d	5	屏蔽属性提升提示(未启动)	0x741b48
0x100ac03d	memcpy	REVERT	屏蔽属性提升提示	0x741b83	0x741b88	5	屏蔽属性提升提示(未启动)	0x741b83
0x100ac07a	memcpy	REVERT	屏蔽属性提升提示	0x741bbe	0x741bc3	5	屏蔽属性提升提示(未启动)	0x741bbe
0x100ac0b7	memcpy	REVERT	屏蔽属性提升提示	0x741bf9	0x741bfe	5	屏蔽属性提升提示(未启动)	0x741bf9
0x100ac0f4	memcpy	REVERT	屏蔽属性提升提示	0x741c34	0x741c39	5	屏蔽属性提升提示(未启动)	0x741c34
0x100ac131	memcpy	REVERT	屏蔽属性提升提示	0x741c6f	0x741c74	5	屏蔽属性提升提示(未启动)	0x741c6f
0x100ac16b	memcpy	REVERT	屏蔽属性提升提示	0x741caa	0x741caf	5	屏蔽属性提升提示(未启动)	0x741caa
0x100ac1a5	memcpy	REVERT	屏蔽属性提升提示	0x741ce5	0x741cea	5	屏蔽属性提升提示(未启动)	0x741ce5
0x100ac1df	memcpy	REVERT	屏蔽属性提升提示	0x741d20	0x741d25	5	屏蔽属性提升提示(未启动)	0x741d20
0x100ac219	memcpy	REVERT	屏蔽属性提升提示	0x741d5b	0x741d60	5	屏蔽属性提升提示(未启动)	0x741d5b
0x100ac253	memcpy	REVERT	屏蔽属性提升提示	0x741dfd	0x741e02	5	屏蔽属性提升提示(未启动)	0x741dfd
0x100ac290	memcpy	REVERT	屏蔽属性提升提示	0x74281d	0x742826	9	屏蔽属性提升提示(未启动)	0x74281d
0x100ac2cd	memcpy	REVERT	屏蔽属性提升提示	0x742835	0x74283e	9	屏蔽属性提升提示(未启动)	0x742835
0x100ac30a	memcpy	REVERT	屏蔽属性提升提示	0x74284d	0x742856	9	屏蔽属性提升提示(未启动)	0x74284d
0x100ac347	memcpy	REVERT	屏蔽属性提升提示	0x742865	0x74286e	9	屏蔽属性提升提示(未启动)	0x742865
0x100ac384	memcpy	REVERT	屏蔽属性提升提示	0x74287d	0x742886	9	屏蔽属性提升提示(未启动)	0x74287d
0x100ac3c1	memcpy	REVERT	屏蔽属性提升提示	0x742895	0x74289e	9	屏蔽属性提升提示(未启动)	0x742895
0x100ac3fe	memcpy	REVERT	屏蔽属性提升提示	0x7428ad	0x7428b6	9	屏蔽属性提升提示(未启动)	0x7428ad
0x100ac43b	memcpy	REVERT	屏蔽属性提升提示	0x7428c5	0x7428ce	9	屏蔽属性提升提示(未启动)	0x7428c5
0x100ac478	memcpy	REVERT	屏蔽属性提升提示	0x7428dd	0x7428e6	9	屏蔽属性提升提示(未启动)	0x7428dd
0x100ac4b5	memcpy	REVERT	屏蔽属性提升提示	0x74290d	0x742916	9	屏蔽属性提升提示(未启动)	0x74290d
0x100ac4f2	memcpy	REVERT	屏蔽属性提升提示	0x742925	0x74292e	9	屏蔽属性提升提示(未启动)	0x742925
0x100ac52f	memcpy	REVERT	屏蔽属性提升提示	0x74293d	0x742946	9	屏蔽属性提升提示(未启动)	0x74293d
0x100ac56c	memcpy	REVERT	屏蔽属性提升提示	0x742955	0x74295e	9	屏蔽属性提升提示(未启动)	0x742955
0x100ac5a9	memcpy	REVERT	屏蔽属性提升提示	0x74296d	0x742976	9	屏蔽属性提升提示(未启动)	0x74296d
0x100ac5e6	memcpy	REVERT	屏蔽属性提升提示	0x74298c	0x742995	9	屏蔽属性提升提示(未启动)	0x74298c
0x100ac678	memcpy	APPLY	屏蔽发言频繁禁言功能	0x6bb56a	0x6bb570	6	屏蔽发言频繁禁言功能(已启动)	0x6bb56a
0x100ac6b2	memcpy	APPLY	屏蔽发言频繁禁言功能	0x6bb579	0x6bb57f	6	屏蔽发言频繁禁言功能(已启动)	0x6bb579
0x100ac75d	memcpy	REVERT	屏蔽发言频繁禁言功能	0x6bb56a	0x6bb570	6	屏蔽发言频繁禁言功能(未启动)	0x6bb56a
0x100ac797	memcpy	REVERT	屏蔽发言频繁禁言功能	0x6bb579	0x6bb57f	6	屏蔽发言频繁禁言功能(未启动)	0x6bb579
0x100ac889	memcpy	APPLY	屏蔽元宝增减信息	0x6f9002	0x6f9004	2	屏蔽元宝增减信息(已启动)	0x6f9002
0x100ac8c3	memcpy	APPLY	屏蔽元宝增减信息	0x6f9047	0x6f9049	2	屏蔽元宝增减信息(已启动)	0x6f9047
0x100ac8fd	memcpy	APPLY	屏蔽元宝增减信息	0x6f8bcf	0x6f8bd6	7	屏蔽元宝增减信息(已启动)	0x6f8bcf
0x100ac937	memcpy	APPLY	屏蔽元宝增减信息	0x6f8c02	0x6f8c09	7	屏蔽元宝增减信息(已启动)	0x6f8c02
0x100ac974	memcpy	APPLY	屏蔽元宝增减信息	0x6f8b25	0x6f8b28	3	屏蔽元宝增减信息(已启动)	0x6f8b25
0x100ac9b1	memcpy	APPLY	屏蔽元宝增减信息	0x6f8b62	0x6f8b65	3	屏蔽元宝增减信息(已启动)	0x6f8b62
0x100ac9ee	memcpy	APPLY	屏蔽元宝增减信息	0x6f8288	0x6f828b	3	屏蔽元宝增减信息(已启动)	0x6f8288
0x100aca2b	memcpy	APPLY	屏蔽元宝增减信息	0x6f82c5	0x6f82c8	3	屏蔽元宝增减信息(已启动)	0x6f82c5
0x100acb2d	memcpy	REVERT	屏蔽元宝增减信息	0x6f9002	0x6f9004	2	屏蔽元宝增减信息(未启动)	0x6f9002
