key	prod_value	cfg_field	serializer_op	patch_label	consumers_plain	consumers_delayed
主号全局法速	0	0x8cc	mov	no	-	-
主号分身术a	0	0x6dc	cmp	no	0x1006953f	0x1006953f
主号施法速度	0	0x83c	cmp	no	-	-
主号高级暴击	1	0x518	cmp	no	0x10079fb1	0x10079fb1
全屏吸怪	0	0x50c	cmp	no	-	-
冰咆哮切割	0	0x688	cmp	no	0x1007af12	0x1007af12
冰咆哮固定增伤	0	0x67c	cmp	no	-	-
切换暴击报文	0	0x864	cmp	no	-	-
嗜血术范围	0	0x808	cmp	no	-	-
宝宝自动叛变	0	0x6a0	cmp	no	-	-
战队职业限制	0	0x84c	cmp	no	-	-
技能等级突破	1	0x69c	cmp	no	-	-
技能等级突破_最大值	255	0x6a8	push	no	-	-
技能触发脚本	0	0x508	cmp	no	-	-
新呼唤宝宝	0	0x6a4	cmp	no	-	-
火墙切割	0	0x698	cmp	no	0x1007af78	0x1007af78
火墙固定增伤	0	0x680	cmp	no	-	-
火符切割	0	0x694	cmp	no	0x1007b0a6	0x1007b0a6
火符固定增伤	0	0x684	cmp	no	-	-
烈火切割	0	0x690	cmp	no	0x1007afdd	0x1007afdd
烈火固定增伤	0	0x678	cmp	no	-	-
穿戴触发_plus	0	0x860	cmp	no	-	-
自定义伤害	0	0x510	cmp	no	0x1005eda3	0x1005eda3
自定义元素	1	0x664	cmp	no	0x1005e752	0x1005e752
英雄千分比免伤	0	0x108	cmp	no	0x1007a8a7	0x1007a8a7
英雄自动开盾	0	0x668	cmp	no	-	-
英雄读取极品	0	0x514	cmp	no	0x1005ef7b	0x1005ef7b
获取沙城归属	0	0x85c	cmp	no	0x100ce8f3	0x100ce8f3
装备多职业	0	0x844	cmp	no	-	-
装备转生穿戴判定a	0	0x66c	cmp	no	-	-
角色多阵营	0	0x848	cmp	no	-	-
诱惑之光触发脚本a	0	0x670	cmp	no	-	-
雷电术切割	0	0x68c	cmp	no	0x1007b043	0x1007b043
高级英雄倍功暴击	0	0x51c	cmp	no	0x1007a014	0x1007a014
