key	value	prod_on	page	page_src	widget	state	n_sites	behavior_files	api_members	patch_target_vas	dump_str_va	dump_xrefs
AddLimLF函数修改	0	0	配置1	catalog	toggle	LABEL_ONLY	5		IsAddLimLF;IsAddLimLFModified	0x6de8e3	0x102afd6c	2
BB杀怪触发	0	0	配置1	catalog	toggle	IMPLEMENTED	9	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsPetKillTrigger	0x71f467	0x102afde0	2
BB死亡触发	0	0	配置1	catalog	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsPetDeathTrigger	0x76631c	0x102afe08	2
IncActivePoint函数修改	0	0	配置1	catalog	toggle	LABEL_ONLY	5		IsIncActivePoint;IsIncActivePointModified	0x6f91ba	0x102afd80	2
ServerSay函数	1	1	盘古2	panel	toggle	LABEL_ONLY	11		IsServerSay;IsServerSayEnabled	0x728913	0x102b0034	2
SetNoKillMapLv脚本触发	1	1	盘古2	panel	toggle	IMPLEMENTED	8	GameSvr/Command/Commands/SetNoKillMapLvCommand.cs	IsNoKillMapLv;IsNoKillMapLvEnabled		0x102b023c	2
give极品	0	0	配置1	catalog	toggle	LABEL_ONLY	8		IsGiveExtreme;IsGiveExtremeEnabled	0x6c89ae	0x102afda8	2
super攻击触发	0	0	眼神2(第2页)	panel	toggle	SCRIPT_ONLY	6	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsSuperAttackTrigger		0x102b0338	2
上线触发	0	0	配置1	catalog	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsLoginTrigger	0x6548bd	0x102afe4c	2
下线宝宝死亡	0	0	盘古1	catalog	toggle	IMPLEMENTED	6	GameSvr/Players/TPlayObject.Message.cs	IsPetDieOffline;IsPetDieOfflineEnabled	0x6b5ba1	0x102b042c	2
专职变性	0	0	盘古1	catalog	toggle	LABEL_ONLY	7		IsChangeJob;IsChangeJobEnabled		0x102b0394	2
中毒时间上限	1	1	盘古3	panel	toggle	IMPLEMENTED	4	GameSvr/Plugins/YanshenPoisonTimeCap.cs	IsPoisonTimeLimit	0x76e5ce 0x76e675	0x102b06dc	2
中毒时间上限_秒	"60"	1	盘古3	panel	value	IMPLEMENTED	2	GameSvr/Plugins/YanshenPoisonTimeCap.cs	PoisonTimeLimitSec		0x102b08c8	3
中毒飘血	1	1	配置2	catalog	toggle	LABEL_ONLY	4		IsPoisonBleed	0x767e10	0x102affe4	2
临时大背包	0	0	配置1	catalog	toggle	LABEL_ONLY	8		IsTempBag;SwitchBigBag		0x102afdec	2
主号全局法速	0	0	眼神2(第1页)	panel	value	LABEL_ONLY	11		IsMainGlobalSpeed;IsMainGlobalSpeedEnabled		0x102afea0	2
主号分身术a	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	8		IsMainClone;IsMainCloneEnabled		0x102b0124	1
主号施法速度	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	8		IsMainCastSpeed;IsMainCastSpeedEnabled		0x102b02b4	2
主号高级暴击	1	1	眼神2(第1页)	panel	toggle	LABEL_ONLY	8		IsMainAdvCrit;IsMainAdvCritEnabled		0x102b1578	2
人物爆率调整	0	0	盘古3	panel	toggle	IMPLEMENTED	8	GameSvr/Actors/TBaseObject.Base.cs;GameSvr/Players/TPlayObject.Message.cs	IsPlayerDropRate;TryGetDeathEquipDropPatch	0x73fcbb 0x73ff6c	0x102b0664	2
人物等级1_值	40	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;PlayerLv1		0x102b1494	3
人物等级2_值	45	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;PlayerLv2		0x102b14a4	3
人物等级3_值	48	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;PlayerLv3		0x102b14b4	3
伤害触发脚本_plus	0	0	眼神2(第2页)	panel	toggle	LABEL_ONLY	4		IsDmgScriptPlus		0x102b159c	2
修复刺杀位麻痹	1	1	盘古1	catalog	toggle	LABEL_ONLY	4		IsFixStabParalysis		0x102b03fc	2
修复卡防御	1	1	盘古1	catalog	toggle	IMPLEMENTED	4	GameSvr/Actors/TBaseObject.NativeMagicDamage.cs	IsFixDefense	0x767910	0x102b040c	2
修改召唤神兽	1	1	盘古3	panel	toggle	IMPLEMENTED	6	GameSvr/Spells/MagicManager.cs	IsModifyShenShou;IsModifyShenShouEnabled		0x102b1658	2
免毒符	1	1	配置2	catalog	toggle	LABEL_ONLY	5		IsAntiPoison	0x6ed945 0x6ed9d1 0x6ed9eb 0x6eda85 0x6edab1 0x6edadf 0x6edb11 0x6edb3e 0x6edb65 0x6edb8c 0x6edc58 0x6ede1d	0x102affc8	2
全局循环函数	1	1	眼神2(第2页)	panel	toggle	IMPLEMENTED	13	GameSvr/Plugins/YanshenCommands.cs;GameSvr/Plugins/YanshenRecycleDriver.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsLoopTimer;SetLoopTimer		0x102b163c	2
全屏吸怪	0	0	眼神2(第1页)	panel	toggle	SCRIPT_ONLY	9	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsVacuum		0x102b02a8	2
全屏拾取	1	1	配置1	catalog	toggle	SCRIPT_ONLY	11	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsAutoPickup	0x6b795c 0x6b796b 0x6b7a25 0x6b7a2f	0x102afca0	2
全服击杀提示	1	1	盘古1	catalog	toggle	LABEL_ONLY	10		IsKillNotice;ShouldSendKillNotice		0x102b0384	2
关闭摆摊	0	0	盘古1	panel	toggle	IMPLEMENTED	6	GameSvr/Players/TPlayObject.NativeStall.cs	IsCloseStall	0x6e7c38	0x102b0490	2
冰咆哮主属性切换	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsIceStormSwitch	0x76f2cb	0x102aff80	2
冰咆哮切割	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsIceStormCutting		0x102b01d4	2
冰咆哮固定增伤	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsIceStormFixDmg		0x102b0190	2
